43:42.9,n_iraira1,2
44:47.0,n_iraira2,0
45:48.6,n_iraira3,2
46:56.3,n_iraira4,1
48:40.5,n_iraira5,11
49:49.4,n_puzzle1,1
51:01.4,n_puzzle2,0
52:06.8,n_puzzle3,0
53:18.2,n_puzzle4,0
54:33.7,n_puzzle5,0
12:54.8,iraira1-1,4
14:13.4,iraira1-2,1
15:40.6,iraira2-1,3
17:06.2,iraira2-2,1
19:01.8,iraira3-1,6
20:41.8,iraira3-2,3
39:06.9,iraira4-1,7
41:48.0,iraira4-2,10
46:33.1,iraira5-1,27
50:41.8,iraira5-2,22
09:04.2,puzzle1-1,1
10:51.8,puzzle1-2,2
12:56.1,puzzle2-1,2
14:46.5,puzzle2-2,0
16:32.8,puzzle3-1,1
18:19.1,puzzle3-2,1
20:06.5,puzzle4-1,1
22:07.3,puzzle4-2,2
24:29.8,puzzle5-1,2
26:43.6,puzzle5-2,1
