2022-12-13 18:21:16.951061,puzzle_1,0
2022-12-13 18:22:56.844584,puzzle_2,0
2022-12-13 18:24:17.975644,puzzle_3,0
2022-12-13 18:25:48.728992,puzzle_4,0
2022-12-13 18:27:16.886509,puzzle_5,0
2022-12-13 18:28:25.314225,irairabou1,1
2022-12-13 18:29:25.891932,irairabou2,0
2022-12-13 18:30:34.702101,irairabou3,0
2022-12-13 18:31:51.664618,irairabou4,1
2022-12-13 18:33:28.505227,irairabou5,2
2022-12-13 18:53:42.406291,puzzle_1,1
2022-12-13 18:56:33.680080,puzzle_1,0
2022-12-13 18:59:43.506060,puzzle_2,2
2022-12-13 19:02:44.415528,puzzle_2,0
2022-12-13 19:05:23.129649,puzzle_3,0
2022-12-13 19:08:00.559038,puzzle_3,0
2022-12-13 19:10:47.093764,puzzle_4,0
2022-12-13 19:13:48.636449,puzzle_4,1
2022-12-13 19:17:18.921548,puzzle_5,1
2022-12-13 19:20:46.539299,puzzle_5,1
2022-12-13 19:39:13.277592,irairabou1,1
2022-12-13 19:41:13.420475,irairabou1,1
2022-12-13 19:43:26.593957,irairabou2,1
2022-12-13 19:45:28.925334,irairabou2,0
2022-12-13 19:48:07.526665,irairabou3,2
2022-12-13 19:50:21.292502,irairabou3,1
2022-12-13 20:10:09.842707,irairabou4,8
2022-12-13 20:12:51.809072,irairabou4,4
2022-12-13 20:18:33.904489,irairabou5,27
2022-12-13 20:23:22.087298,irairabou5,22
