10:56.7,n_puzzle1,0
12:26.1,n_puzzle2,0
13:41.7,n_puzzle3,0
15:05.3,n_puzzle4,2
16:31.7,n_puzzle5,3
17:33.8,n_iraira1,3
18:33.9,n_iraira2,1
19:42.4,n_iraira3,4
20:57.7,n_iraira4,5
22:32.6,n_iraira5,9
43:37.2,puzzle1-1,0
47:08.8,puzzle1-2,0
50:05.5,puzzle2-1,0
53:22.5,puzzle2-2,1
55:56.2,puzzle3-1,0
58:17.4,puzzle3-1,0
00:40.2,puzzle4-1,0
02:54.7,puzzle4-2,0
05:34.3,puzzle5-1,2
08:01.7,puzzle5-2,2
26:26.3,iraira1-1,3
28:14.9,iraira1-2,1
30:38.9,iraira2-1,4
32:24.7,iraira2-2,0
36:35.9,iraira3-1,13
39:40.8,iraira3-2,4
01:46.2,iraira4-1,5
04:51.0,iraira4-2,4
09:59.4,iraira5-1,21
14:41.6,iraira5-2,21
