2022-11-22 14:07:19.793033,irairabou1,1
2022-11-22 14:08:26.266027,irairabou2,0
2022-11-22 14:09:46.701430,irairabou3,5
2022-11-22 14:11:08.945187,irairabou4,1
2022-11-22 14:13:08.264334,irairabou5,14
2022-11-22 14:14:48.881196,puzzle_1,0
2022-11-22 14:16:16.646186,puzzle_2,0
2022-11-22 14:17:23.329866,puzzle_3,0
2022-11-22 14:18:39.818654,puzzle_4,1
2022-11-22 14:20:05.153461,puzzle_5,0
2022-11-22 14:37:48.184905,irairabou1,6
2022-11-22 14:39:32.274586,irairabou1,7
2022-11-22 14:40:53.604098,irairabou2,2
2022-11-22 14:42:59.941292,irairabou2,8
2022-11-22 14:44:50.415873,irairabou3,6
2022-11-22 14:46:31.642975,irairabou3,6
2022-11-22 15:04:52.041388,irairabou4,17
2022-11-22 15:07:27.594687,irairabou4,15
2022-11-22 15:12:41.247354,irairabou5,40
2022-11-22 15:18:06.396070,irairabou5,36
2022-11-22 15:37:10.155288,puzzle_1,4
2022-11-22 15:39:33.681458,puzzle_1,0
2022-11-22 15:42:13.097165,puzzle_2,7
2022-11-22 15:44:22.554690,puzzle_2,1
2022-11-22 15:46:28.059343,puzzle_3,1
2022-11-22 15:48:31.733185,puzzle_3,5
2022-11-22 15:50:49.285044,puzzle_4,3
2022-11-22 15:52:50.923592,puzzle_4,1
2022-11-22 15:55:20.381888,puzzle_5,4
2022-11-22 15:57:54.288675,puzzle_5,9
