Recording timestamp,Obj num,Position X,Position Y
1670464431.450768,9,1500.0,150.0
1670464431.602732,9,1499.0,150.0
1670464431.612433,9,1497.0,150.0
1670464431.632322,9,1496.0,150.0
1670464431.642251,9,1495.0,150.0
1670464431.652426,9,1493.0,150.0
1670464431.661347,9,1491.0,150.0
1670464431.672916,9,1490.0,150.0
1670464431.682503,9,1488.0,150.0
1670464431.693307,9,1486.0,150.0
1670464431.701946,9,1483.0,150.0
1670464431.711291,9,1480.0,150.0
1670464431.722909,9,1477.0,150.0
1670464431.733983,9,1474.0,150.0
1670464431.741901,9,1469.0,150.0
1670464431.75188,9,1468.0,150.0
1670464431.763084,9,1466.0,150.0
1670464431.772555,9,1463.0,150.0
1670464431.783875,9,1457.0,151.0
1670464431.791878,9,1455.0,151.0
1670464431.802307,9,1450.0,153.0
1670464431.812622,9,1449.0,153.0
1670464431.822407,9,1446.0,154.0
1670464431.831594,9,1444.0,155.0
1670464431.842792,9,1443.0,155.0
1670464431.863097,9,1440.0,156.0
1670464431.881398,9,1438.0,156.0
1670464431.892629,9,1437.0,156.0
1670464431.902321,9,1436.0,156.0
1670464431.91245,9,1435.0,156.0
1670464431.922705,9,1434.0,156.0
1670464431.934156,9,1433.0,156.0
1670464431.943609,9,1432.0,158.0
1670464431.953644,9,1429.0,158.0
1670464431.963034,9,1425.0,158.0
1670464431.973467,9,1424.0,158.0
1670464431.983511,9,1422.0,159.0
1670464431.994063,9,1418.0,161.0
1670464432.002413,9,1412.0,162.0
1670464432.013685,9,1409.0,164.0
1670464432.023654,9,1404.0,165.0
1670464432.033677,9,1400.0,167.0
1670464432.042718,9,1395.0,169.0
1670464432.053273,9,1391.0,170.0
1670464432.064216,9,1388.0,171.0
1670464432.073506,9,1383.0,173.0
1670464432.08352,9,1381.0,174.0
1670464432.093673,9,1376.0,176.0
1670464432.104533,9,1368.0,178.0
1670464432.114531,9,1362.0,179.0
1670464432.125238,9,1355.0,181.0
1670464432.133268,9,1348.0,181.0
1670464432.145187,9,1340.0,182.0
1670464432.155229,9,1331.0,184.0
1670464432.164276,9,1320.0,186.0
1670464432.173276,9,1308.0,188.0
1670464432.184555,9,1300.0,190.0
1670464432.195225,9,1291.0,191.0
1670464432.204628,9,1283.0,191.0
1670464432.21389,9,1274.0,193.0
1670464432.224022,9,1267.0,194.0
1670464432.234354,9,1260.0,195.0
1670464432.245058,9,1252.0,196.0
1670464432.254198,9,1245.0,198.0
1670464432.26345,9,1239.0,199.0
1670464432.274465,9,1233.0,200.0
1670464432.284383,9,1225.0,202.0
1670464432.294316,9,1220.0,204.0
1670464432.303288,9,1213.0,206.0
1670464432.314452,9,1208.0,207.0
1670464432.324735,9,1201.0,209.0
1670464432.334775,9,1196.0,210.0
1670464432.344065,9,1189.0,211.0
1670464432.354469,9,1185.0,213.0
1670464432.364845,9,1179.0,214.0
1670464432.374454,9,1176.0,216.0
1670464432.383758,9,1173.0,216.0
1670464432.394273,9,1172.0,216.0
1670464432.565077,9,1171.0,217.0
1670464432.575744,9,1171.0,218.0
1670464432.596018,9,1171.0,219.0
1670464432.61746,9,1171.0,220.0
1670464432.6273,9,1171.0,221.0
1670464432.636472,9,1171.0,223.0
1670464432.645858,9,1170.0,224.0
1670464432.658544,9,1169.0,226.0
1670464432.666798,9,1169.0,227.0
1670464432.677222,9,1168.0,229.0
1670464432.686323,9,1167.0,230.0
1670464432.697165,9,1166.0,231.0
1670464432.725937,9,1165.0,232.0
1670464432.747056,9,1164.0,233.0
1670464432.765554,9,1163.0,234.0
1670464432.787519,9,1162.0,235.0
1670464432.797079,9,1162.0,236.0
1670464432.806307,9,1160.0,237.0
1670464432.816083,9,1159.0,237.0
1670464432.826252,9,1157.0,237.0
1670464432.836398,9,1155.0,238.0
1670464432.84744,9,1153.0,240.0
1670464432.856162,9,1149.0,240.0
1670464432.866412,9,1146.0,242.0
1670464432.876691,9,1142.0,243.0
1670464432.887063,9,1139.0,244.0
1670464432.895288,9,1133.0,246.0
1670464432.905288,9,1131.0,248.0
1670464432.917142,9,1127.0,249.0
1670464432.926287,9,1124.0,250.0
1670464432.936287,9,1122.0,252.0
1670464432.946938,9,1117.0,253.0
1670464432.957323,9,1116.0,254.0
1670464432.968045,9,1113.0,254.0
1670464432.978065,9,1112.0,255.0
1670464432.986393,9,1111.0,256.0
1670464432.997609,9,1110.0,257.0
1670464433.007581,9,1109.0,257.0
1670464433.026592,9,1107.0,257.0
1670464433.037629,9,1107.0,258.0
1670464433.066769,9,1105.0,259.0
1670464433.078051,9,1104.0,260.0
1670464433.087741,9,1103.0,260.0
1670464433.10791,9,1101.0,260.0
1670464433.118256,9,1099.0,261.0
1670464433.128586,9,1098.0,261.0
1670464433.138298,9,1095.0,262.0
1670464433.148467,9,1093.0,263.0
1670464433.157742,9,1090.0,264.0
1670464433.169816,9,1087.0,266.0
1670464433.179142,9,1083.0,269.0
1670464433.188812,9,1079.0,271.0
1670464433.197779,9,1073.0,274.0
1670464433.209153,9,1067.0,276.0
1670464433.218886,9,1060.0,279.0
1670464433.228752,9,1053.0,282.0
1670464433.237857,9,1047.0,285.0
1670464433.248434,9,1041.0,288.0
1670464433.25872,9,1034.0,292.0
1670464433.26906,9,1026.0,295.0
1670464433.278518,9,1018.0,298.0
1670464433.287535,9,1011.0,300.0
1670464433.298222,9,1003.0,302.0
1670464433.308495,9,998.0,305.0
1670464433.318555,9,992.0,307.0
1670464433.327888,9,986.0,309.0
1670464433.339406,9,982.0,311.0
1670464433.349358,9,976.0,313.0
1670464433.358363,9,972.0,314.0
1670464433.367896,9,965.0,316.0
1670464433.379121,9,961.0,317.0
1670464433.388412,9,955.0,318.0
1670464433.399457,9,949.0,319.0
1670464433.40778,9,945.0,319.0
1670464433.418203,9,940.0,319.0
1670464433.428202,9,936.0,319.0
1670464433.439038,9,933.0,319.0
1670464433.45057,9,931.0,319.0
1670464433.458588,9,928.0,320.0
1670464433.470095,9,927.0,320.0
1670464433.479381,9,926.0,320.0
1670464433.498508,9,925.0,320.0
1670464433.550375,9,924.0,320.0
1670464433.569328,9,923.0,320.0
1670464433.60006,9,921.0,320.0
1670464433.61042,9,920.0,320.0
1670464433.619467,9,919.0,320.0
1670464433.629334,9,917.0,320.0
1670464433.640555,9,916.0,321.0
1670464433.650417,9,915.0,321.0
1670464433.660682,9,912.0,323.0
1670464433.670194,9,911.0,323.0
1670464433.681049,9,909.0,323.0
1670464433.69104,9,907.0,323.0
1670464433.700328,9,904.0,325.0
1670464433.709361,9,902.0,325.0
1670464433.721013,9,897.0,326.0
1670464433.731196,9,893.0,326.0
1670464433.74036,9,889.0,326.0
1670464433.74996,9,883.0,328.0
1670464433.760227,9,879.0,328.0
1670464433.771449,9,871.0,328.0
1670464433.780726,9,864.0,329.0
1670464433.790012,9,856.0,330.0
1670464433.800214,9,850.0,331.0
1670464433.810222,9,841.0,333.0
1670464433.820354,9,836.0,333.0
1670464433.830563,9,827.0,333.0
1670464433.840049,9,820.0,333.0
1670464433.850954,9,813.0,334.0
1670464433.861289,9,806.0,334.0
1670464433.870875,9,800.0,334.0
1670464433.879607,9,796.0,334.0
1670464433.890129,9,792.0,334.0
1670464433.901159,9,787.0,334.0
1670464433.911051,9,783.0,335.0
1670464433.91932,9,780.0,335.0
1670464433.93048,9,777.0,336.0
1670464433.94056,9,775.0,336.0
1670464433.950285,9,772.0,336.0
1670464433.960485,9,769.0,336.0
1670464433.970752,9,766.0,336.0
1670464433.981539,9,764.0,337.0
1670464433.991835,9,761.0,337.0
1670464434.001846,9,757.0,338.0
1670464434.010863,9,755.0,338.0
1670464434.022085,9,752.0,338.0
1670464434.032116,9,748.0,339.0
1670464434.041909,9,746.0,339.0
1670464434.050442,9,743.0,340.0
1670464434.06192,9,741.0,340.0
1670464434.072673,9,736.0,341.0
1670464434.081401,9,735.0,342.0
1670464434.090567,9,732.0,343.0
1670464434.10205,9,730.0,343.0
1670464434.111995,9,727.0,345.0
1670464434.121245,9,725.0,345.0
1670464434.132255,9,723.0,345.0
1670464434.143803,9,721.0,347.0
1670464434.153887,9,719.0,347.0
1670464434.163126,9,716.0,349.0
1670464434.173154,9,711.0,350.0
1670464434.182193,9,709.0,351.0
1670464434.193475,9,703.0,353.0
1670464434.202864,9,701.0,354.0
1670464434.213092,9,696.0,356.0
1670464434.22144,9,693.0,357.0
1670464434.233153,9,688.0,359.0
1670464434.243106,9,684.0,360.0
1670464434.2523,9,678.0,362.0
1670464434.261568,9,676.0,363.0
1670464434.273662,9,671.0,365.0
1670464434.282983,9,668.0,367.0
1670464434.292348,9,665.0,368.0
1670464434.302384,9,661.0,369.0
1670464434.311888,9,659.0,370.0
1670464434.32316,9,655.0,371.0
1670464434.333154,9,653.0,372.0
1670464434.342992,9,648.0,374.0
1670464434.351218,9,645.0,375.0
1670464434.363217,9,642.0,376.0
1670464434.372756,9,638.0,377.0
1670464434.382871,9,636.0,378.0
1670464434.391912,9,633.0,379.0
1670464434.403371,9,630.0,381.0
1670464434.412411,9,628.0,382.0
1670464434.422448,9,626.0,383.0
1670464434.431705,9,623.0,384.0
1670464434.443807,9,622.0,386.0
1670464434.452176,9,619.0,387.0
1670464434.463146,9,618.0,387.0
1670464434.472882,9,615.0,389.0
1670464434.483785,9,613.0,391.0
1670464434.493789,9,608.0,392.0
1670464434.504133,9,605.0,394.0
1670464434.513681,9,600.0,397.0
1670464434.522905,9,597.0,399.0
1670464434.533815,9,594.0,400.0
1670464434.543284,9,588.0,403.0
1670464434.553325,9,587.0,405.0
1670464434.562204,9,583.0,408.0
1670464434.573497,9,580.0,410.0
1670464434.583532,9,575.0,413.0
1670464434.593884,9,572.0,416.0
1670464434.603195,9,568.0,418.0
1670464434.613386,9,564.0,421.0
1670464434.623394,9,560.0,424.0
1670464434.63427,9,557.0,426.0
1670464434.643478,9,553.0,430.0
1670464434.653476,9,548.0,433.0
1670464434.665048,9,544.0,436.0
1670464434.674367,9,540.0,439.0
1670464434.684404,9,535.0,442.0
1670464434.69362,9,529.0,445.0
1670464434.704702,9,525.0,449.0
1670464434.714729,9,521.0,452.0
1670464434.725281,9,516.0,456.0
1670464434.733506,9,512.0,460.0
1670464434.744394,9,507.0,462.0
1670464434.754456,9,501.0,465.0
1670464434.765294,9,496.0,469.0
1670464434.773321,9,491.0,472.0
1670464434.784425,9,487.0,475.0
1670464434.794712,9,482.0,478.0
1670464434.804922,9,478.0,482.0
1670464434.813967,9,474.0,485.0
1670464434.824241,9,469.0,488.0
1670464434.834687,9,466.0,491.0
1670464434.844645,9,463.0,494.0
1670464434.854969,9,460.0,496.0
1670464434.864158,9,456.0,499.0
1670464434.8742,9,453.0,502.0
1670464434.884782,9,450.0,503.0
1670464434.895611,9,447.0,505.0
1670464434.903609,9,445.0,507.0
1670464434.914623,9,443.0,509.0
1670464434.925252,9,440.0,510.0
1670464434.93493,9,439.0,512.0
1670464434.943929,9,437.0,514.0
1670464434.954197,9,436.0,515.0
1670464434.964464,9,434.0,516.0
1670464434.974497,9,433.0,516.0
1670464434.984785,9,432.0,517.0
1670464434.995714,9,431.0,518.0
1670464435.005726,9,431.0,519.0
1670464435.015985,9,430.0,520.0
1670464435.026139,9,429.0,520.0
1670464435.035294,9,428.0,521.0
1670464435.045639,9,428.0,522.0
1670464435.056267,9,427.0,523.0
1670464435.066403,9,425.0,525.0
1670464435.074412,9,422.0,528.0
1670464435.08605,9,421.0,529.0
1670464435.097049,9,419.0,531.0
1670464435.105094,9,417.0,532.0
1670464435.114103,9,414.0,535.0
1670464435.126445,9,411.0,538.0
1670464435.135473,9,408.0,541.0
1670464435.146042,9,407.0,543.0
1670464435.156075,9,404.0,546.0
1670464435.166322,9,402.0,548.0
1670464435.176216,9,398.0,552.0
1670464435.186534,9,396.0,553.0
1670464435.197199,9,394.0,555.0
1670464435.205502,9,391.0,558.0
1670464435.216706,9,389.0,560.0
1670464435.227021,9,388.0,562.0
1670464435.236264,9,386.0,563.0
1670464435.245549,9,385.0,565.0
1670464435.256808,9,383.0,566.0
1670464435.267116,9,382.0,567.0
1670464435.27648,9,381.0,568.0
1670464435.286072,9,379.0,570.0
1670464435.298121,9,378.0,571.0
1670464435.307121,9,376.0,573.0
1670464435.31794,9,375.0,575.0
1670464435.32565,9,373.0,577.0
1670464435.336665,9,370.0,580.0
1670464435.347088,9,367.0,583.0
1670464435.357086,9,364.0,586.0
1670464435.366418,9,361.0,588.0
1670464435.37545,9,357.0,590.0
1670464435.386303,9,355.0,593.0
1670464435.397632,9,352.0,596.0
1670464435.406714,9,349.0,599.0
1670464435.415748,9,346.0,601.0
1670464435.426577,9,344.0,603.0
1670464435.436653,9,341.0,606.0
1670464435.447052,9,339.0,608.0
1670464435.456341,9,336.0,611.0
1670464435.46739,9,334.0,614.0
